name,net_worth
Francesca Bonomo-Giannuzzi,11687.0
Dott. Beatrice Gelli,11668.0
Dott. Tatiana Accardo,11667.0
Atenulf Beffa-Mezzetta,11647.0
Donatello Franzese,11629.0
Filippa Silvestri,11626.0
Eleanora Pisano,11619.0
Isa Guarato,11618.0
Durante Foconi,11602.0
Guarino Salgari,11594.0
Dott. Giustino Zaccardo,11587.0
Gioacchino Iannotti,11584.0
Sig.ra Letizia Bonino,11578.0
Tatiana Pasqua,11577.0
Eliana Cantimori-Niggli,11572.0
Dott. Alfio Sbarbaro,11562.0
Alessandro Sonnino,11530.0
Sig. Ivo Vecellio,11510.0
Ivo Mastandrea,11505.0
Tiziano Comencini,11490.0
Maurilio Trezzini,11477.0
Mercedes Cimarosa,11452.0
Laureano Respighi,11445.0
Flora Navone,11437.0
Dott. Paulina Respighi,11435.0
Fulvio Antonacci-Fracci,11410.0
Sig.ra Liliana Lucarelli,11409.0
Marcella Pertini,11407.0
Jacopo Zaccardo,11392.0
Lidia Vergassola-Pizziol,11357.0
Giuseppe Foscari,11352.0
Gustavo Tozzo,11349.0
Gioacchino Soprano,11335.0
Lucio Mancini,11327.0
Ivo Giannelli,11321.0
Rosa Lamborghini,11304.0
Aurora Argurio,11301.0
Angelo Renzi,11281.0
Sig.ra Irma Costalonga,11235.0
Adelmo Alonzi,11232.0
Ippazio Duse,11221.0
Sig.ra Giulia Monti,11215.0
Concetta Oscuro-Tarantini,11175.0
Agostino Interminelli,11166.0
Baccio Farinelli,11126.0
Arturo Pasolini,11114.0
Carolina Scialpi,11100.0
Luchino Benedetti,11087.0
Luciano Guarana,11077.0
Gelsomina Zacchia-Palazzo,11066.0
Rosaria Mozart,11051.0
Sig. Gioachino Falier,11047.0
Margherita Barberini-Barbarigo,11023.0
Filippa Schiaparelli,11006.0
Lidia Pizziol,11004.0
Tina Coppola,10996.0
Marisa Vigorelli,10976.0
Cecilia Michelangeli,10973.0
Giulia Tebaldi,10970.0
Adele Contarini,10961.0
Graziella Geraci,10961.0
Dott. Rembrandt Nibali,10942.0
Enrico Duse,10930.0
Ettore Filogamo-Faugno,10929.0
Paoletta Terragni-Magrassi,10917.0
Ferdinando Gussoni,10909.0
Claudio Iannelli,10884.0
Paoletta Sommaruga,10865.0
Pasqual Chiesa-Toscani,10854.0
Rosario Dossetti-Garobbio,10838.0
Stella Rinaldi,10806.0
Anita Zacco,10788.0
Atenulf Nicoletti,10768.0
Luciana Moschino,10746.0
Nedda Roncalli-Guarato,10731.0
Valentina Respighi,10728.0
Durante Ioppi,10705.0
Anita Antonucci,10694.0
Erika Iadanza,10693.0
Sebastiano Morricone,10677.0
Orazio Ferrabosco,10659.0
Marcantonio Prodi,10658.0
Eugenia Calvo,10651.0
Durante Spinelli,10639.0
Sonia Carriera,10632.0
Venancio Turati,10627.0
Diana Piane,10624.0
Toni Collodi,10620.0
Severino Schicchi,10604.0
Maria Sagnelli,10598.0
Sig.ra Bianca Gibilisco,10567.0
Sig.ra Angelina Balbi,10529.0
Eliana Sommaruga,10528.0
Dott. Luciano Disdero,10528.0
Michele Piccinni,10515.0
Simonetta Ricciardi,10509.0
Martino Turchetta,10500.0
Berenice Pace,10497.0
Sig. Enzo Goldstein,10497.0
Maria Golgi,10481.0
Eva Letta-Sorrentino,10479.0
Iolanda Bruno-Sanudo,10455.0
Cirillo Golgi,10445.0
Dott. Carla Antonucci,10437.0
Giacomo Marinetti,10431.0
Bruno Battelli,10405.0
Annibale Ceschi,10400.0
Marcella Lercari-Viviani,10393.0
Marissa Lettiere,10391.0
Sig. Dante Cheda,10390.0
Flora Giannone,10388.0
Vincenza Abate,10384.0
Nicolò Ceravolo-Gatto,10380.0
Sig.ra Giada Doglioni,10350.0
Antonia Morellato-Anastasi,10338.0
Irma Villadicani,10321.0
Fabrizio Gabbana,10299.0
Susanna Borzomì,10278.0
Salvi Leopardi,10271.0
Gianfranco Mazzini,10269.0
Giacobbe Porzio,10257.0
Ippazio Garobbio-Morandi,10253.0
Oreste Roth,10251.0
Dott. Lucio Quasimodo,10251.0
Livio Turrini,10230.0
Serafina Civaschi,10220.0
Dott. Massimo Jovinelli,10217.0
Emma Corcos,10202.0
Ramona Mascheroni,10190.0
Rita Cardano,10186.0
Antonio Onio-Faggiani,10156.0
Gilberto Malipiero,10153.0
Paola Castelli,10152.0
Piergiorgio Cappelli,10139.0
Lisa Pisani,10099.0
Antonia Pistoletto,10097.0
Sig.ra Flora Valentino,10094.0
Agnolo Cicilia-Merisi,10090.0
Nico Saffi,10080.0
Dott. Alessandra Trentin,10077.0
Rocco Fallaci,10055.0
Jolanda Soderini,10047.0
Alberico Rastelli-Collina,10042.0
Sabatino Ponti,10039.0
Sig. Paolo Calgari,10038.0
Elena Cattaneo,10035.0
Dott. Alderano Curci,10010.0
Ida Cimini,10010.0
Beppe Liverotti,10009.0
Sig. Raimondo Infantino,10001.0
